dm_sendTime,dm_time,dm_userId,dm_color,dm_mode,dm_fontSize,dm_text
2019-07-27 23:45:53,0:02:59.220000,2213519e,"(155, 155, 155)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:47,0:02:59.220000,2213519e,"(34, 34, 34)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:41,0:02:59.220000,2213519e,"(204, 2, 115)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:36,0:00:52.287000,9f7ef85d,"(255, 255, 255)",1,25,弹幕？
2019-07-27 23:45:36,0:02:59.220000,2213519e,"(137, 213, 255)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:30,0:02:59.220000,2213519e,"(66, 102, 190)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:26,0:01:58.306000,1e3a1a4,"(255, 255, 255)",1,25,想以后更好呀
2019-07-27 23:45:25,0:00:10.024000,29a9ef2a,"(255, 255, 255)",1,25,再来亿遍
2019-07-27 23:45:25,0:02:59.220000,2213519e,"(1, 152, 153)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:19,0:02:59.220000,2213519e,"(0, 205, 0)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:15,0:00:15.176000,ed2dc1a2,"(255, 255, 255)",1,25,再来一遍
2019-07-27 23:45:10,0:00:29.281000,6e64cc5a,"(255, 255, 255)",1,25,花之舞犯规了！
2019-07-27 23:45:08,0:02:59.220000,2213519e,"(255, 255, 0)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:02,0:02:59.220000,2213519e,"(255, 211, 2)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:45:01,0:02:14.071000,28c1782b,"(255, 255, 255)",1,25,泪目
2019-07-27 23:45:00,0:00:27.888000,2f627edc,"(255, 255, 255)",1,25,最怕鬼畜动了情
2019-07-27 23:44:54,0:01:35.572000,d1eba500,"(255, 255, 255)",1,25,排第一了
2019-07-27 23:44:50,0:00:00.978000,35705422,"(255, 255, 255)",1,25,这很摇滚
2019-07-27 23:44:44,0:02:59.220000,2213519e,"(254, 3, 2)",5,25,章鱼哥的仇 就由我来报
2019-07-27 23:44:00,0:02:36.121000,5c5441d2,"(255, 255, 255)",1,25,这个不仅仅是鬼畜
2019-07-27 23:43:30,0:00:15.881000,46aed1a3,"(226, 2, 127)",1,25,派大星色
2019-07-27 23:43:28,0:01:14.729000,c6748ab8,"(255, 255, 255)",1,25,哈哈哈哈哈哈哈哈哈加泪水
2019-07-27 23:43:24,0:00:16.121000,b2772577,"(255, 255, 255)",1,25,感触越来越深
2019-07-27 23:43:23,0:02:18.028000,5e961ab3,"(255, 255, 255)",1,25,哭了
2019-07-27 23:43:20,0:00:04.478000,a913dde3,"(226, 2, 127)",1,25,再来亿遍
2019-07-27 23:43:04,0:00:12.721000,b2772577,"(255, 255, 255)",1,25,六刷
2019-07-27 23:42:50,0:01:59.480000,eb8bee9d,"(255, 255, 255)",1,25,泪目
2019-07-27 23:42:49,0:00:18.843000,398e2e53,"(255, 255, 255)",1,25,。。。
2019-07-27 23:42:45,0:00:14.122000,398e2e53,"(255, 255, 255)",1,25,。。
2019-07-27 23:42:44,0:02:01.521000,bee3a06d,"(255, 255, 255)",1,25,太强了
2019-07-27 23:42:36,0:00:09.881000,398e2e53,"(255, 255, 255)",1,25,什么
2019-07-27 23:41:56,0:00:23.941000,f82b7f71,"(255, 255, 255)",1,25,再来亿遍
2019-07-27 23:41:46,0:00:01.199000,435c3cc0,"(255, 255, 255)",1,25,再来亿遍
2019-07-27 23:41:41,0:03:37.184000,af89bca4,"(231, 0, 18)",5,25,海绵宝宝不见了
2019-07-27 23:41:40,0:00:12.380000,511c1378,"(254, 241, 2)",1,25,再来亿遍
2019-07-27 23:41:27,0:00:45.490000,38a813d0,"(255, 255, 255)",1,25,BGM
2019-07-27 23:41:11,0:01:58.539000,77086573,"(255, 255, 255)",1,25,泪目
2019-07-27 23:41:06,0:00:00.318000,6c5e855e,"(255, 255, 255)",1,25,最后亿遍。
2019-07-27 23:41:05,0:02:52.776000,a942d677,"(255, 255, 255)",1,25,泪目
2019-07-27 23:41:04,0:02:07.532000,b3baec69,"(255, 255, 255)",1,25,熬夜冠军
2019-07-27 23:40:50,0:00:54.792000,9aaaa82f,"(255, 255, 255)",1,25,你只是一条咸鱼
2019-07-27 23:40:46,0:00:58.703000,84bc17c0,"(255, 255, 255)",1,25,天才
2019-07-27 23:40:15,0:00:32.358000,8cd16c7e,"(254, 241, 2)",1,25,泪目
2019-07-27 23:40:12,0:00:29.264000,56d7f31e,"(0, 160, 234)",1,25,泪目
2019-07-27 23:40:09,0:01:59.226000,46afb925,"(254, 3, 2)",5,25,自由自在，没有烦恼
2019-07-27 23:40:05,0:00:28.069000,56d7f31e,"(255, 255, 255)",1,25,泪目
2019-07-27 23:39:56,0:00:27.946000,8cd16c7e,"(255, 255, 255)",1,25,蕾姆
2019-07-27 23:39:43,0:00:15.040000,8cd16c7e,"(255, 255, 255)",1,25,再来亿遍
2019-07-27 23:39:36,0:01:53.237000,9541b6bc,"(255, 255, 255)",1,25,NO
2019-07-27 23:39:30,0:00:46.866000,193137a7,"(231, 0, 18)",1,25,应为天才生来孤独
2019-07-27 23:39:25,0:03:40.960000,c6f9d08f,"(255, 255, 255)",1,25,啊啊啊
2019-07-27 23:39:24,0:01:32.563000,6dcf9ee2,"(255, 255, 255)",1,25,NB
2019-07-27 23:39:17,0:02:49.234000,fbf0792c,"(255, 255, 255)",1,25,是不是我没把你照顾好
2019-07-27 23:38:52,0:03:08.196000,c6f9d08f,"(255, 255, 255)",1,25,f'f'f
2019-07-27 23:38:51,0:00:59.641000,af89bca4,"(255, 255, 255)",1,25,百万调音
